,Unnamed: 0,URL,URL_FIRST_PART,URL_LAST_PART,PREDICATE,OBJECT,WORDS,ENTITIES,REPLACED_WORD
172,172,http://fraunhofer.de/data/The_Clean_Hydrogen_Alliance,http://fraunhofer.de/data,The_Clean_Hydrogen_Alliance,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,The Clean Hydrogen Alliance,"[('The Clean Hydrogen Alliance', 'ORG')]",European_Clean_Hydrogen_Alliance
173,173,http://fraunhofer.de/data/hydrogen_and_fuel_cell_technologies,http://fraunhofer.de/data,hydrogen_and_fuel_cell_technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Product,hydrogen and fuel cell technologies,[],Fuel_Cell
174,174,http://fraunhofer.de/data/hydrogen_fuel_%2C,http://fraunhofer.de/data,hydrogen_fuel__,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,hydrogen fuel  ,[],Fuel_Cell
175,175,http://fraunhofer.de/data/Green_hydrogen,http://fraunhofer.de/data,Green_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,Green hydrogen,[],Hydrogen
176,176,http://fraunhofer.de/data/hydrogen_train,http://fraunhofer.de/data,hydrogen_train,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,hydrogen train,[],Train
177,177,http://fraunhofer.de/data/high_pressure_hydrogen_tanks,http://fraunhofer.de/data,high_pressure_hydrogen_tanks,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,high pressure hydrogen tanks,[],Tank
178,178,http://fraunhofer.de/data/Hydrogen_and_Fuel_Cell_Technologies,http://fraunhofer.de/data,Hydrogen_and_Fuel_Cell_Technologies,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Reconversion,Hydrogen and Fuel Cell Technologies,"[('Hydrogen', 'ORG'), ('Fuel Cell Technologies', 'ORG')]",Fuel_Cell
179,179,http://fraunhofer.de/data/hydrogen_transportation,http://fraunhofer.de/data,hydrogen_transportation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Transport,hydrogen transportation,[],Transportation
180,180,http://fraunhofer.de/data/Development_of_a_Hydrogen_Infrastructure,http://fraunhofer.de/data,Development_of_a_Hydrogen_Infrastructure,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Road,Development of a Hydrogen Infrastructure,[],Infrastructure
181,181,http://fraunhofer.de/data/Hydrogen_fuel_cells,http://fraunhofer.de/data,Hydrogen_fuel_cells,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,Hydrogen fuel cells,[],Fuel_Cell
182,182,http://fraunhofer.de/data/hydrogen_trains,http://fraunhofer.de/data,hydrogen_trains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,hydrogen trains,[],Train
183,183,http://fraunhofer.de/data/hydrogen_trains,http://fraunhofer.de/data,hydrogen_trains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,hydrogen trains,[],Train
184,184,http://fraunhofer.de/data/Hydrogen,http://fraunhofer.de/data,Hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,Hydrogen,"[('Hydrogen', 'ORG')]",Hydrogen
185,185,http://fraunhofer.de/data/High_Pressure_Hydrogen_Tanks,http://fraunhofer.de/data,High_Pressure_Hydrogen_Tanks,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,High Pressure Hydrogen Tanks,[],Tank
186,186,http://fraunhofer.de/data/green_hydrogen,http://fraunhofer.de/data,green_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inResearch,green hydrogen,[],Hydrogen
187,187,http://fraunhofer.de/data/hydrogen_cars,http://fraunhofer.de/data,hydrogen_cars,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Researcher,hydrogen cars,[],Car
188,188,http://fraunhofer.de/data/Green_Hydrogen,http://fraunhofer.de/data,Green_Hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,Green Hydrogen,"[('Green Hydrogen', 'ORG')]",Hydrogen
